CAS_number,chemical_name_NL,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
,"2,3,5-trimethylnaphthalene","2,3,5-trimethylnaphthalene",170,,4.81,,PAK,1,170.2,
,"2,3,6-trimethylnaphthalene","2,3,6-trimethylnaphthalene",170,,4.73,,PAK,1,170.3,
,"2,3,7-TriCDD","2,3,7-TriCDD",287.5,0.14409133,6.1,,overige,3,179.9,
,"2,3-Benzopyrole (Indole)","2,3-Benzopyrole",117,,,,onbekend,3,,
,"2,3-Dichloor-5-nitrotolueen","2,3-Dichloor-5-nitrotolueen",,,,,Cl,3,,
1988-06-02,"2,4,6-Trichloorfenol","2,4,6-Trichlorophenol",197.46,243,3.695,2.234096671,Cl,3,,0.001
,"2,4-dichloorfenol","2,4-dichloorphenol",163,1907.107928,3.06,1.308828347,ClAlk,1,,0.001
,"2,5-dichloorfenol","2,5-dichloorphenol",163,420.9082483,3.06,1.596225694,ClAlk,1,,0.001
,"2,6-dichloorfenol","2,6-dichloorphenol",163,534.106534,2.75,1.397831352,ClAlk,1,,0.001
,"2,6-dimethylnaphthalene","2,6-dimethylnaphthalene",156,,4.31,,PAK,1,155.9,
,"2,6-Di-tert-butyl-4-methyl-phenol (BHT)","2,6-Di-tert-butyl-4-methyl-phenol",220,,,,overige,3,,
,"2,7/8-DiCDD","2,7/8-DiCDD",253.1,0.201044476,5.6,,overige,3,168.5,
,2-CDD,2-CDD,218.6,1.736401521,5.2,,overige,3,156.4,
95-51-2,2-Chlooraniline,2-Chloroaniline,127.57,8160,1.9,,Cl,3,,
,2-chloorfenol,2-chloorphenol,128.5899988,8708.954334,2.15,0.398828347,ClAlk,1,,0.001
91587,2-chloornaftaleen,2-chloornaphthalene,162.6099997,9.71436827,4.14,2.184177182,Cl,3,,0.001
,2-ethylanthracene,2-ethylanthracene,206,,5.85,,PAK,1,191.2,
 626-93-7,2-Hexanol,2-Hexanol,102.18,14350,1.76,,O2,3,,
,2-Hydroxy-4-ethandiol methyl-thioacetic acid ester,2-Hydroxy-4-ethandiol methyl-thioacetic acid ester,346,,,,overige,3,,
,2-Methoxy-4-propenyl-phenol,2-Methoxy-4-propenyl-phenol,164,,,,overige,3,,
,2-methylanthracene,2-methylanthracene,192.15,1.661036915,4.85,,PAK,1,174.8,
,2-methylnaphthalene,2-methylnaphthalene,167.15,1.661036915,4.28,,PAK,1,158.25,
,2-methylphenanthrene,2-methylphenanthrene,192,,5.01,,PAK,1,176,
6032-29-7,2-Pentanol,2-Pentanol,88.15,166000,1.25,,O2,3,,
,2-Phenly-ehtyl-alcohol,2-Phenly-ehtyl-alcohol,122,,,,O2,3,,
67-63-0,2-Propanol {isopropyl alcohol},2-Propanol,60.1,1000000,0.05,,O2,3,,
,"3-(3,5-di-tert-butyl-4-hydroxy phenyl)-propionate (Irganox 1076)","3-(3,5-di-tert-butyl-4-hydroxy phenyl)-propionate",531,,,,onbekend,3,,
609-19-8,"3,4,5-Trichloorfenol","3,4,5-Trichlorophenol",197.45,34.6,4.01,2.304002415,Cl,3,,0.001
,"3,6-dimethylphenanthrene","3,6-dimethylphenanthrene",206.15,0.635183529,5.17,,PAK,1,192.2,
,"3,7-Dimehtyl-octane-3-ol","3,7-Dimehtyl-octane-3-ol",158,,,,O2,3,,
,"3,7-Dimethyl-6-octene-al","3,7-Dimethyl-6-octene-al",154,,,,O2,3,,
108-42-9,3-Chlooraniline,3-Chloroaniline,127.57,5400,1.88,,Cl,3,,
,3-chloorfenol,3-chloorphenol,128.5899988,7969.660322,2.5,0.748828347,ClAlk,1,,0.001
 96-14-0 ,3-Methylpentane,3-Methylpentane,86.18,18,3.6,,Alk,1,,
,3-Octene-2-one,3-Octene-2-one,126,,,,O2,3,,
,3-Phenyl-1-propanol,3-Phenyl-1-propanol,136,,,,O2,3,,
106-47-8,4-Chlooraniline,4-Chloroaniline,127.57,3900,1.83,,Cl,3,,
,4-chloorfenol,4-chloorphenol,128.5899988,7667.192707,2.39,0.638828347,ClAlk,1,,0.001
,4-Isopropenyl-1-methyl-1-cyclohexene (Limonene),4-Isopropenyl-1-methyl-1-cyclohexene,136,,,,overige,3,,
,4-Isopropyl-tuluene,4-Isopropyl-tuluene,134,,,,MAK,1,,
,6-methylchrysene,6-methylchrysene,242,,6.07,,PAK,1,211.9,
,"7,12-dimethylbenz[a]anthracene","7,12-dimethylbenz[a]anthracene",256,,6.62,,PAK,1,226,
,7-methylbenz[a]anthracene,7-methylbenz[a]anthracene,242,,6.07,,PAK,1,210.3,
,7-Methyl-chinoline,7-Methyl-chinoline,143,,,,onbekend,3,,
,"9,10-dimethylanthracene","9,10-dimethylanthracene",206.15,0.635183529,5.295,,PAK,1,190.15,
,9-methylanthracene,9-methylanthracene,192,,5.07,,PAK,1,174.3,
,acenaphthene,acenaphthene,154.1,22.06400634,3.96,,PAK,1,141.8,
,acenaphthylene,acenaphthylene,152.2,,3.9,,PAK,1,223.1,
67-64-1,Acetone,Acetone,58.08,790000,-0.24,,O2,3,74,
1975-05-08,Acetonitrile,Acetonitrile,41.05,1000000,-0.34,,overige,3,,
,aldrin,aldrin,364.9,0.916587359,6.3,2.7036797,overige,3,240.1,0.00003
463-49-0,Allene,Allene,40.065,,1.45,,Alk,1,,
62-53-3,Aniline,Anilin,93.13,35333.33333,0.988,,overige,3,,
,Antraceen,anthracene,178.1,4.350184731,4.525,3.063556603,PAK,1,158.9,0.0001
1912249,atrazine,atrazine,215.6966666,38.13236662,2.61,0.975115324,overige,3,,0.0001
,BDE-1,BDE-1,249.1,2.491,4.6,,BDE,3,174.7,
,BDE-100,BDE-100,564.7,0.014184623,7.3,,BDE,3,232,
,BDE-126,BDE-126,564.7,0.011267246,7.4,,BDE,3,233.7,
,BDE-15,BDE-15,328,0.519844967,5.2,,BDE,3,189.9,
,BDE-153,BDE-153,643.6,0.004060841,8,,BDE,3,246.6,
,BDE-154,BDE-154,643.6,0.004060841,8,,BDE,3,246.5,
,BDE-17,BDE-17,406.9,0.203933085,5.8,,BDE,3,202.1,
,BDE-2,BDE-2,249.1,1.978671633,4.5,,BDE,3,173,
,BDE-28,BDE-28,406.9,0.161989808,5.8,,BDE,3,203.8,
,BDE-47,BDE-47,485.8,0.04858,6.5,,BDE,3,217.6,
,BDE-66,BDE-66,485.8,0.04858,6.5,,BDE,3,218.2,
,BDE-71,BDE-71,485.8,0.04858,6.6,,BDE,3,217,
,BDE-85,BDE-85,564.7,0.014184623,7.2,,BDE,3,231.6,
,BDE-99,BDE-99,564.7,0.014184623,7.2,,BDE,3,232.1,
,benz[a]anthracene,benz[a]anthracene,228.15,0.138965154,5.78,4.553465774,PAK,1,194.9,0.0001
00-52-7,Benzaldehyde,Benzaldehyde,106.13,6950,1.48,,overige,3,,
71-43-2,Benzeen,Benzene,78.10666652,1988.898826,2.13,0.659555885,MAK,1,89.4,0.001
,benzo(a)perylene,benzo(a)perylene,252.3,,,,PAK,1,218.2,
,"benzo(g,h,i)perylene","benzo(g,h,i)perylene",276.3,0.000186,6.22,5.193463434,PAK,1,241.3,0.0001
,benzo[a]pyrene,benzo[a]pyrene,252.15,0.026200963,6.115,4.583465572,PAK,1,218.05,0.00001
,benzo[b]fluoranthene,benzo[b]fluoranthene,252.15,0.026200963,5.84,4.103471294,PAK,1,231.8,0.0001
,benzo[e]pyrene,benzo[e]pyrene,252.15,0.026200963,6.27,,PAK,1,219.45,
,benzo[ghi]perylene,benzo[ghi]perylene,276,,6.7,,PAK,1,241,
,benzo[k]fluoranthene,benzo[k]fluoranthene,252.15,0.026200963,6.005,,PAK,1,229.3,
100-51-6,Benzyl alcohol,Benzyl alcohol,108.14,42900,1.1,,overige,3,,
100-44-7,Benzylchloride,Benzyl chloride,126.59,476.5,2.3,,ClArom,1,,
101-84-8  (= bifenyl oxide ??),bifenly ether,diphenyl ether,170.21,20,4.21,,O2,3,,
 92-52-4 ,Bifenyl,Biphenyl,154.21,6.476666667,4.045,,PAK,1,,
71-36-3,Butylalcohol {Butanol],Butylalcohol ,74.12,77000,0.84,,O2,3,,
,butylated hydroxyanisol,butylated hydroxyanisol,180.2,,,,overige,3,175.7,
,butylated hydroxytoluene,butylated hydroxytoluene,220.4,,,,overige,3,235,
104518,butylbenzeen,butylbenzene,134.22,11.8,4.38,,,,,
85687,butylbenzylftalaat(BBP),benzyl butyl phthalate (BBP),312.3966666,4.218630438,4.91,2.673692963,overige,3,,0.0001
,Butyraldehyde,Butyraldehyde,72.11,71000,0.88,,O2,3,89.6,
123-72-8,Butyraldehyde (butanal),Butyraldehyde,72.11,37000,0.88,,O2,3,,
63252,carbaryl,carbaryl,201.2066664,81.56328382,2.36,1.043401359,overige,3,,0.0001
1563662,carbofuran,carbofuran,221.2899993,376.0966593,1.63,0.444356263,overige,3,,0.0001
,Cedrylacetate,Cedrylacetate,264,,,,overige,3,,
,Chloordaan,Chlordane,410,0.14,5.8,3.363509843,overige,3,,0.0001
75-00-3,chloorethaan,Chloroethane,64.515,6710,1.485,,ClAlk,1,,
540545,chloorpentaan,chloropentane,106.59,197,2.73,,,,,
,Chlorobenzene,Chlorobenzene,112.56,498,2.84,,ClArom,1,102.2,
,Chloroform,Chloroform,119.38,7950,1.97,0.465300972,ClAlk,1,,0.001
,chrysene,chrysene,228.15,0.138965154,5.755,4.483466305,PAK,1,196.3,0.0001
 928-96-1 ,cis-Hex-3-en-1-ol,cis-Hex-3-en-1-ol,100.16,19300,1.61,,O2,3,,
110-82-7,Cyclohexaan,Cyclohexane,84.16,49,3.48,,Alk,1,104.7,
108941,cyclohexanon,cyclohexanon,98.14499563,18990.75095,0.81,-0.087766146,overige,3,,0.0001
 75-19-4 ,Cyclopopane,Cyclopopane,42.08,502000,1.72,,overige,3,,
,d10-fluoranthene,d10-fluoranthene,212,,,,PAK,1,,
,d10-fluorene,d10-fluorene,176,,,,PAK,1,,
,d12-benz[a]anthracene,d12-benz[a]anthracene,228.15,0.138965154,5.78,,PAK,1,,
,d12-perylene,d12-perylene,264,,,,PAK,1,,
117817,di(2-ethylhexyl)ftalaat,di(2-ethylhexyl)phthalate,390.5866662,0.045738942,7.45,4.133470728,overige,3,,0.0001
,dibenz[ah]anthracene,dibenz[ah]anthracene,278,,6.8,,PAK,1,243.8,
,"dibenzo(a,h)anthracene","dibenzo(a,h)anthracene",278.3,,,,PAK,1,244.2,
84742,dibuthylftalaat(DBP),dibutyl phthalate,278.35,2.351,4.72,1.745420579,overige,3,,0.0001
1975-09-02,Dichloormethaan / Methyleenchloride,Dichloromethane,84.93,20000,1.25,0.088839633,ClAlk,1,64.5,0.001
,"Didodecyl-3,3-thio-dipropionate","Didodecyl-3,3-thio-dipropionate",514,,,,onbekend,3,,
,dieldrin,dieldrin,380.9,4.795246894,5.5,2.753654239,overige,3,253.7,0.00003
60297,di-ethylether,di-ethylether,74.12,60400,0.89,,,,,
84662,diethylftalaat(DEP),Diethyl phthalate (DEP),222.24,287.2,2.47,1.407730396,overige,3,,0.0001
84753,dihexylftalaat(DHP),Dihexyl phthalate (DHP),334.5,0.01151,6.85,3.413505198,overige,3,,0.0001
,di-isobutylftalaat(DIBP),Diisobutyl phthalate,278.35,9.6,4.46,2.00453864,overige,3,,0.0001
108-20-3,Di-isopropylether,Diisopropyl ether,102.18,8900,1.52,,O2,3,,
565-80-0,Di-isopropylketon,Di-isopropylketon,114.18,5700,1.86,,O2,3,,
,Dimehtyl-phthalate,Dimehtyl-phthalate,194,,,,O2,3,,
 67-68-5 ,Dimethyl sulfoxide,Dimethyl sulfoxide,78.14,1000000,-1.35,,overige,3,,
,Dimethyl-benzyl-carbinol,Dimethyl-benzyl-carbinol,150,,,,onbekend,3,,
,Dimethylftalaat,dimethylftalaat(DMP),194.19,2014,1.56,,O2,3,,
131113,dimethylftalaat(DMP),Dimethyl phthalate,194.19,2014,1.56,1.023864247,overige,3,,0.0001
,Diphenyl-oxide,Diphenyl-oxide,170,,,,overige,3,,
,Docosane,Docosane,310,,,,onbekend,3,,
,Eicosane,Eicosane,282,,,,onbekend,3,,
,endosulfan sulphate,endosulfan sulphate,422.9,,5.1,,overige,3,239.8,
,endrin,endrin,380.9,1.204511561,5,2.713672709,overige,3,253.7,0.0001
,endrin aldehyde,endrin aldehyde,380.9,,5.5,,overige,3,253.2,
,endrin ketone,endrin ketone,364.5,,6.8,,overige,3,,
,ETBE (Ethyl tert-butyl ether) ,Ethyl tert-butyl ether,102.17476,5030.868137,1.88,,O2,3,,0.001
74-84-0,Ethane,Ethane,30.07,62,1.81,,Alk,1,,
64-17-5,Ethanol,Ethanol,46.07,1000000,-0.305,,O2,3,,
141-78-6 ,Ethylacetaat,Ethylacetaat,88.1,62100,0.73,,O2,3,,
100-41-4,Ethylbenzeen,Ethylbenzene,106.186665,159.4494297,3.15,1.299931656,MAK,1,,0.001
74-85-1,Ethylene,Ethylene,28.05,130,1.13,,Alk,1,,
 105-37-3 ,Ethylpropionate,Ethylpropionate,102.13,17000,1.21,,O2,3,,
1985-01-08,Fenanthreen,Phenanthrene,178.21,0.85,4.47,2.993573044,PAK,1,,0.0001
108-95-2,Fenol,Phenol,94.10499987,65559.5567,1.48,0.336603308,O2,3,,0.001
,fluoranthene,fluoranthene,202.15,0.836365063,5.08,3.943475119,PAK,1,195.85,0.0001
,fluorene,fluorene,166.1,9.822703148,4.14,,PAK,1,154.6,
,gasoline,gasoline,,,,,Arom,1,,
,HCB,HCB,284.8,0.358541957,5.6,,overige,3,161.2,
142-82-5,Heptaan (n-heptaan),n-Heptane,100.2,2.6,4.58,,Alk,1,,
,heptachlor,heptachlor,373.3,1.180478251,6,3.213533128,overige,3,230.8,0.00003
,heptachlor epoxide,heptachlor epoxide,389.3,4.900996628,5.4,1.705641075,overige,3,233.7,0.00003
53535-33-4,Heptanol,Heptanol,116.21,1940,2.62,,O2,3,,
110-54-3,Hexaan,Hexane,86.18,23,3.888,,Alk,1,,
118741,Hexachloorbenzeen,Hexachlorobenzene,284.8,0.0117,5.73,2.823626427,ClArom,1,,0.001
 66-25-1 ,Hexaldehyde,Hexaldehyde,100.16,6000,1.78,,O2,3,,
25264-93-1,Hexene,Hexene,84.16,50,3.07,,Alk,1,,
,δ-HCH,δ-HCH,290.8,115.7695652,3.9,2.134261869,overige,3,178,0.0001
1998-07-07,"α,α,α-Trichloortolueen",Benzotrichloride,195.475,51.5,2.92,,ClArom,1,,
,α-endosulfan,α-endosulfan,406.9,2.567365435,4.9,1.874913747,overige,3,236.3,0.0001
,α-HCH,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3,178,0.0001
,β-HCH,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3,178,0.0001
,γ-HCH,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3,178,0.0001
,"indeno[1,2,3-cd]pyrene","indeno[1,2,3-cd]pyrene",276,0.000265,6.7,4.783464526,PAK,1,253.4,0.0001
103651,i-propylbenzeen,i-propylbenzene,120.19,61.3,3.66,,,,,
115-11-7,Isobutyleen,Isobutylene,56.11,388,2.35,,Alk,1,,
108-41-8,m-Chloortolueen,mo-Chlorotoluene,126.586,117,3.764,,ClArom,1,,
,MCPA,MCPA,200.6,622,2.68,0.573466342,overige,3,,0.0001
108394,m-Cresol,m-Cresol,108.1166641,6321.665372,1.96,0.517742126,overige,3,,0.001
 74-82-8 ,Methaan,Methane,16.05,26000,1.09,,Alk,1,,
67-56-1,Methanol,Methanol,32,1056000,-0.7,,O2,3,,
100-66-3,Methoxybenzeen,methoxybenzene,108.14,1040,2.11,,O2,3,,
,Methoxybenzene,Methoxybenzene,108.14,1741,2.11,,O2,3,109.3,
,methoxychlor,methoxychlor,345.7,0.173260427,5.1,,overige,3,260.5,
000108-10-1,Methyl iso-Buthyl Ketone,Methyl isobutyl ketone (MIBK),100.16,19000,1.31,,O2,3,125.8,
1634-04-4,Methyl tert-butyl ether {MTBE},Methyl tert-butyl ether,88.15,51000,0.94,-0.043843695,O2,3,,0.001
78-93-3,Methylethylketon {Butanone},2-Butanone,72,352800,0.2755,,O2,3,90.2,
,Methyl-octacosanate,Methyl-octacosanate,438,,,,onbekend,3,,
,Methyl-tricosanante,Methyl-tricosanante,368,,,,onbekend,3,,
,me-triclosan,me-triclosan,303.6,2.411580521,5.4,,overige,3,214.2,
,Minerale olie (C10),10,122,0.1,5.28,4.164492244,Alk,1,,0.001
,Minerale olie (C10-C12),Mineral oil (C10-C12),132,0.028183829,5.73,,Alk,1,,
,Minerale olie (C11),11,134,0.028183829,5.73,4.164492244,Alk,1,,0.001
,Minerale olie (C12),12,146,0.007943282,6.18,4.164492244,Alk,1,,0.001
,Minerale olie (C12-C16),Mineral oil (C12-C16),168,0.000630957,7.08,,Alk,1,,
,Minerale olie (C13),13,158,0.002238721,6.63,5.463590432,Alk,1,,0.001
,Minerale olie (C14),14,170,0.000630957,7.08,5.463590432,Alk,1,,0.001
,Minerale olie (C15),15,182,0.000177828,7.53,5.463590432,Alk,1,,0.001
,Minerale olie (C16),16,194,5.01E-05,7.98,5.463590432,Alk,1,,0.001
,Minerale olie (C16-C21),Mineral oil (C16-C21),300,2.11E-06,9.105,,Alk,1,,
,Minerale olie (C17),17,206,1.41E-05,8.43,7.763487393,Alk,1,,0.001
,Minerale olie (C18),18,218,3.98E-06,8.88,7.763487393,Alk,1,,0.001
,Minerale olie (C19),19,230,1.12E-06,9.33,7.763487393,Alk,1,,0.001
,Minerale olie (C20),20,242,3.16E-07,9.78,7.763487393,Alk,1,,0.001
,Minerale olie (C21),21,254,8.91E-08,10.23,7.763487393,Alk,1,,0.001
,Minerale olie (C21-C30),Mineral oil (C21-C30),390,5.62E-10,12.03,,Alk,1,,
,Minerale olie (C22),22,266,2.51E-08,10.68,,Alk,1,,0.001
,Minerale olie (C23),23,278,7.08E-09,11.13,,Alk,1,,0.001
,Minerale olie (C24),24,290,2.00E-09,11.58,,Alk,1,,0.001
,Minerale olie (C25),25,302,5.62E-10,12.03,,Alk,1,,0.001
,Minerale olie (C26),26,314,1.58E-10,12.48,,Alk,1,,0.001
,Minerale olie (C27),27,326,4.47E-11,12.93,,Alk,1,,0.001
,Minerale olie (C28),28,338,1.26E-11,13.38,,Alk,1,,0.001
,Minerale olie (C29),29,350,3.55E-12,13.83,,Alk,1,,0.001
,Minerale olie (C30),30,362,1.00E-12,14.28,,Alk,1,,0.001
,Minerale olie (C31),31,374,2.82E-13,14.73,,Alk,1,,0.001
,Minerale olie (C32),32,386,7.94E-14,15.18,,Alk,1,,0.001
,Minerale olie (C33),33,398,2.24E-14,15.63,,Alk,1,,0.001
,Minerale olie (C34),34,410,6.31E-15,16.08,,Alk,1,,0.001
,Minerale olie (C35),35,422,1.78E-15,16.53,,Alk,1,,0.001
,Minerale olie (C36),36,434,5.01E-16,16.98,,Alk,1,,0.001
,Minerale olie (C37),37,446,1.41E-16,17.43,,Alk,1,,0.001
,Minerale olie (C38),38,458,3.98E-17,17.88,,Alk,1,,0.001
,Minerale olie (C39),39,470,1.12E-17,18.33,,Alk,1,,0.001
,Minerale olie (C40),40,482,3.16E-18,18.78,,Alk,1,,0.001
 99-09-2,m-Nitroaniline,3-Nitroaniline,138.13,1200,1.37,,overige,3,,
,Monochlooranilinen,Monochlooranilinen,127.6,3470,1.88,1.308827992,Cl,3,,0.001
108-90-7,Monochloorbenzeen,Chlorobenzene,112.5899987,507.425862,2.89,1.112564971,ClArom,1,,0.001
 108-38-3 ,m-Xyleen,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1,,0.001
91-20-3,Naftaleen,Naphthalene,128.19,31.8,3.3,1.745433577,PAK,1,124.6,0.001
,naphthalene,naphthalene,128,,3.3,,PAK,1,128.2,
106-97-8,n-Butaan {Butaan},Butane,58.12,61,2.89,,Alk,1,,
,n-Decanal,n-Decanal,156,,,,O2,3,,
,n-Dodecane,n-Dodecane,170,,,,Alk,1,,
 75-83-2 ,Neohexane,Neohexane,86.18,,3.82,,Alk,1,,
106-97-8,Neopentaan,Neopentane,72.15,33,3.11,,Alk,1,,
98-95-3,Nitrobenzeen,Nitrobenzene,123.11,2026.666667,1.845,,overige,3,,
100-61-8,n-Methylaniline,N-Methylaniline,107.16,5620,1.66,,overige,3,,
,n-Nonanal,n-Nonanal,142,,,,O2,3,,
,n-nonylphenol,n-nonylphenol,220.4,1.104616663,4.5,,overige,3,238.8,
,n-nonylphenol-tech,n-nonylphenol-tech,,,,,overige,3,,
,n-Octanal,n-Octanal,128,,,,O2,3,,
,n-octylphenol,n-octylphenol,206.3,5.182021708,4,,overige,3,222.3,
111842,nonaan,Nonane ,128.25,0.22,5.65,,,,,
,nonylphenol-d4,nonylphenol-d4,,,,,overige,3,,
109-66-0,n-Pentaan,Pentane,72.15,39.25,3.42,,Alk,1,,
109-66-0,n-Pentane,n-Pentane,72.15,40,3.39,,Alk,1,,
,n-Tetradecane,n-Tetradecane,198,,,,Alk,1,,
,"o,p’-DDD","o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3,224.8,0.0001
,"o,p’-DDE","o,p’-DDE",318,0.400338281,7.1,4.1134711,overige,3,221.1,0.0001
,"o,p’-DDT","o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3,237.7,0.0001
95-49-8,o-Chloortolueen,o-Chlorotoluene,126.586,154,3.2,,ClArom,1,,
95487,o-Cresol,o-Cresol,108.1166641,14858.86058,1.95,0.399094472,overige,3,,0.001
111-65-9,Octaan,Octane,114.23,0.7,5.15,,Alk,1,,
,octylphenol-d17,octylphenol-d17,,,,,overige,3,,
 95-47-6 ,o-Xyleen,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1,,0.001
