Wavelength (nm);Responsivity (A/W);Quantum Efficiency
510;0.26210;0.63718
511;0.26271;0.63740
512;0.26331;0.63762
513;0.26392;0.63784
514;0.26452;0.63806
515;0.26513;0.63828
516;0.26573;0.63849
517;0.26634;0.63871
518;0.26694;0.63893
519;0.26755;0.63914
520;0.26815;0.63935
521;0.26876;0.63957
522;0.26936;0.63978
523;0.26997;0.63999
524;0.27057;0.64020
525;0.27118;0.64041
526;0.27178;0.64062
527;0.27239;0.64082
528;0.27299;0.64103
529;0.27360;0.64124
530;0.27420;0.64144
531;0.27479;0.64161
532;0.27538;0.64178
533;0.27597;0.64195
534;0.27656;0.64212
535;0.27715;0.64228
536;0.27774;0.64245
537;0.27833;0.64262
538;0.27892;0.64278
539;0.27951;0.64295
540;0.28010;0.64311
541;0.28069;0.64327
542;0.28128;0.64344
543;0.28187;0.64360
544;0.28246;0.64376
545;0.28305;0.64392
546;0.28364;0.64408
547;0.28423;0.64424
548;0.28482;0.64440
549;0.28541;0.64456
550;0.28600;0.64472
551;0.28659;0.64486
552;0.28717;0.64501
553;0.28776;0.64515
554;0.28834;0.64530
555;0.28893;0.64544
556;0.28951;0.64559
557;0.29010;0.64573
558;0.29068;0.64587
559;0.29127;0.64602
560;0.29185;0.64616
561;0.29244;0.64630
562;0.29302;0.64644
563;0.29361;0.64658
564;0.29419;0.64672
565;0.29478;0.64686
566;0.29536;0.64700
567;0.29595;0.64713
568;0.29653;0.64727
569;0.29712;0.64741
570;0.29770;0.64755
571;0.29828;0.64766
572;0.29885;0.64777
573;0.29943;0.64789
574;0.30000;0.64800
575;0.30058;0.64811
576;0.30115;0.64823
577;0.30173;0.64834
578;0.30230;0.64845
579;0.30288;0.64856
580;0.30345;0.64867
581;0.30403;0.64878
582;0.30460;0.64889
583;0.30518;0.64900
584;0.30575;0.64911
585;0.30633;0.64922
586;0.30690;0.64933
587;0.30748;0.64944
588;0.30805;0.64955
589;0.30863;0.64965
590;0.30920;0.64976
591;0.30977;0.64986
592;0.31034;0.64995
593;0.31091;0.65005
594;0.31148;0.65014
595;0.31205;0.65024
596;0.31262;0.65033
597;0.31319;0.65043
598;0.31376;0.65052
599;0.31433;0.65062
600;0.31490;0.65071
601;0.31547;0.65080
602;0.31604;0.65090
603;0.31661;0.65099
604;0.31718;0.65108
605;0.31775;0.65117
606;0.31832;0.65126
607;0.31889;0.65136
608;0.31946;0.65145
609;0.32003;0.65154
610;0.32060;0.65163
611;0.32117;0.65171
612;0.32173;0.65179
613;0.32230;0.65187
614;0.32286;0.65195
615;0.32343;0.65203
616;0.32399;0.65210
617;0.32456;0.65218
618;0.32512;0.65226
619;0.32569;0.65234
620;0.32625;0.65242
621;0.32682;0.65249
622;0.32738;0.65257
623;0.32795;0.65265
624;0.32851;0.65273
625;0.32908;0.65280
626;0.32964;0.65288
627;0.33021;0.65295
628;0.33077;0.65303
629;0.33134;0.65310
630;0.33190;0.65318
631;0.33246;0.65325
632;0.33302;0.65331
633;0.33358;0.65338
634;0.33414;0.65344
635;0.33470;0.65350
636;0.33526;0.65357
637;0.33582;0.65363
638;0.33638;0.65370
639;0.33694;0.65376
640;0.33750;0.65382
641;0.33806;0.65389
642;0.33862;0.65395
643;0.33918;0.65401
644;0.33974;0.65407
645;0.34030;0.65414
646;0.34086;0.65420
647;0.34142;0.65426
648;0.34198;0.65432
649;0.34254;0.65438
650;0.34310;0.65445
651;0.34366;0.65450
652;0.34421;0.65455
653;0.34477;0.65460
654;0.34532;0.65465
655;0.34588;0.65470
656;0.34643;0.65475
657;0.34699;0.65480
658;0.34754;0.65486
659;0.34810;0.65491
660;0.34865;0.65496
661;0.34921;0.65501
662;0.34976;0.65506
663;0.35032;0.65511
664;0.35087;0.65516
665;0.35143;0.65521
666;0.35198;0.65525
667;0.35254;0.65530
668;0.35309;0.65535
669;0.35365;0.65540
670;0.35420;0.65545
671;0.35476;0.65551
672;0.35532;0.65557
673;0.35588;0.65562
674;0.35644;0.65568
675;0.35700;0.65574
676;0.35756;0.65580
677;0.35812;0.65585
678;0.35868;0.65591
679;0.35924;0.65597
680;0.35980;0.65602
681;0.36036;0.65608
682;0.36092;0.65613
683;0.36148;0.65619
684;0.36204;0.65625
685;0.36260;0.65630
686;0.36316;0.65636
687;0.36372;0.65641
688;0.36428;0.65647
689;0.36484;0.65652
690;0.36540;0.65658
691;0.36595;0.65661
692;0.36650;0.65665
693;0.36705;0.65669
694;0.36760;0.65672
695;0.36815;0.65676
696;0.36870;0.65680
697;0.36925;0.65683
698;0.36980;0.65687
699;0.37035;0.65690
700;0.37090;0.65694
701;0.37145;0.65697
702;0.37200;0.65701
703;0.37255;0.65705
704;0.37310;0.65708
705;0.37365;0.65712
706;0.37420;0.65715
707;0.37475;0.65719
708;0.37530;0.65722
709;0.37585;0.65726
710;0.37640;0.65729
711;0.37695;0.65733
712;0.37750;0.65736
713;0.37805;0.65739
714;0.37860;0.65743
715;0.37915;0.65746
716;0.37970;0.65750
717;0.38025;0.65753
718;0.38080;0.65757
719;0.38135;0.65760
720;0.38190;0.65763
721;0.38245;0.65767
722;0.38300;0.65770
723;0.38355;0.65773
724;0.38410;0.65777
725;0.38465;0.65780
726;0.38520;0.65783
727;0.38575;0.65787
728;0.38630;0.65790
729;0.38685;0.65793
730;0.38740;0.65797
731;0.38796;0.65801
732;0.38851;0.65805
733;0.38907;0.65809
734;0.38962;0.65813
735;0.39018;0.65817
736;0.39073;0.65821
737;0.39129;0.65825
738;0.39184;0.65829
739;0.39240;0.65833
740;0.39295;0.65837
741;0.39351;0.65841
742;0.39406;0.65845
743;0.39462;0.65849
744;0.39517;0.65853
745;0.39573;0.65857
746;0.39628;0.65861
747;0.39684;0.65865
748;0.39739;0.65869
749;0.39795;0.65873
750;0.39850;0.65877
751;0.39905;0.65879
752;0.39959;0.65881
753;0.40014;0.65884
754;0.40068;0.65886
755;0.40123;0.65888
756;0.40177;0.65890
757;0.40232;0.65893
758;0.40286;0.65895
759;0.40341;0.65897
760;0.40395;0.65899
761;0.40450;0.65901
762;0.40504;0.65904
763;0.40559;0.65906
764;0.40613;0.65908
765;0.40668;0.65910
766;0.40722;0.65912
767;0.40777;0.65914
768;0.40831;0.65917
769;0.40886;0.65919
770;0.40940;0.65921
771;0.40996;0.65925
772;0.41051;0.65928
773;0.41107;0.65932
774;0.41162;0.65936
775;0.41218;0.65940
776;0.41273;0.65943
777;0.41329;0.65947
778;0.41384;0.65951
779;0.41440;0.65954
780;0.41495;0.65958
781;0.41551;0.65962
782;0.41606;0.65965
783;0.41662;0.65969
784;0.41717;0.65973
785;0.41773;0.65976
786;0.41828;0.65980
787;0.41884;0.65983
788;0.41939;0.65987
789;0.41995;0.65991
790;0.42050;0.65994
791;0.42105;0.65997
792;0.42160;0.66000
793;0.42215;0.66002
794;0.42270;0.66005
795;0.42325;0.66008
796;0.42380;0.66011
797;0.42435;0.66013
798;0.42490;0.66016
799;0.42545;0.66019
800;0.42600;0.66022
801;0.42655;0.66024
802;0.42710;0.66027
803;0.42765;0.66030
804;0.42820;0.66032
805;0.42875;0.66035
806;0.42930;0.66038
807;0.42985;0.66040
808;0.43040;0.66043
809;0.43095;0.66046
810;0.43150;0.66048
811;0.43205;0.66050
812;0.43259;0.66052
813;0.43314;0.66054
814;0.43368;0.66056
815;0.43423;0.66058
816;0.43477;0.66060
817;0.43532;0.66061
818;0.43586;0.66063
819;0.43641;0.66065
820;0.43695;0.66067
821;0.43750;0.66069
822;0.43804;0.66071
823;0.43859;0.66072
824;0.43913;0.66074
825;0.43968;0.66076
826;0.44022;0.66078
827;0.44077;0.66080
828;0.44131;0.66081
829;0.44186;0.66083
830;0.44240;0.66085
831;0.44295;0.66087
832;0.44349;0.66089
833;0.44404;0.66090
834;0.44458;0.66092
835;0.44513;0.66094
836;0.44567;0.66096
837;0.44622;0.66097
838;0.44676;0.66099
839;0.44731;0.66101
840;0.44785;0.66103
841;0.44840;0.66105
842;0.44894;0.66106
843;0.44949;0.66108
844;0.45003;0.66110
845;0.45058;0.66111
846;0.45112;0.66113
847;0.45167;0.66115
848;0.45221;0.66117
849;0.45276;0.66118
850;0.45330;0.66120
851;0.45384;0.66121
852;0.45438;0.66122
853;0.45492;0.66123
854;0.45546;0.66124
855;0.45600;0.66125
856;0.45654;0.66126
857;0.45708;0.66127
858;0.45762;0.66128
859;0.45816;0.66129
860;0.45870;0.66130
861;0.45924;0.66131
862;0.45978;0.66132
863;0.46032;0.66133
864;0.46086;0.66134
865;0.46140;0.66134
866;0.46194;0.66135
867;0.46248;0.66136
868;0.46302;0.66137
869;0.46356;0.66138
870;0.46410;0.66139
871;0.46464;0.66140
872;0.46518;0.66141
873;0.46572;0.66142
874;0.46626;0.66143
875;0.46680;0.66144
876;0.46734;0.66145
877;0.46788;0.66146
878;0.46842;0.66147
879;0.46896;0.66147
880;0.46950;0.66148
881;0.47004;0.66149
882;0.47058;0.66150
883;0.47112;0.66151
884;0.47166;0.66152
885;0.47220;0.66153
886;0.47274;0.66154
887;0.47328;0.66155
888;0.47382;0.66156
889;0.47436;0.66157
890;0.47490;0.66157
891;0.47544;0.66158
892;0.47598;0.66159
893;0.47652;0.66160
894;0.47706;0.66161
895;0.47760;0.66162
896;0.47814;0.66163
897;0.47868;0.66164
898;0.47922;0.66164
899;0.47976;0.66165
900;0.48030;0.66166
901;0.48084;0.66167
902;0.48138;0.66168
903;0.48192;0.66169
904;0.48246;0.66170
905;0.48300;0.66171
906;0.48354;0.66171
907;0.48408;0.66172
908;0.48462;0.66173
909;0.48516;0.66174
910;0.48570;0.66175
911;0.48625;0.66177
912;0.48680;0.66179
913;0.48735;0.66181
914;0.48790;0.66184
915;0.48845;0.66186
916;0.48900;0.66188
917;0.48955;0.66190
918;0.49010;0.66192
919;0.49065;0.66195
920;0.49120;0.66197
921;0.49175;0.66199
922;0.49230;0.66201
923;0.49285;0.66203
924;0.49340;0.66205
925;0.49395;0.66208
926;0.49450;0.66210
927;0.49505;0.66212
928;0.49560;0.66214
929;0.49615;0.66216
930;0.49670;0.66218
931;0.49712;0.66203
932;0.49754;0.66188
933;0.49796;0.66173
934;0.49838;0.66158
935;0.49880;0.66143
936;0.49922;0.66128
937;0.49964;0.66113
938;0.50006;0.66098
939;0.50048;0.66083
940;0.50090;0.66068
941;0.50132;0.66053
942;0.50174;0.66038
943;0.50216;0.66023
944;0.50258;0.66008
945;0.50300;0.65994
946;0.50342;0.65979
947;0.50384;0.65964
948;0.50426;0.65950
949;0.50468;0.65935
950;0.50510;0.65920
951;0.50526;0.65871
952;0.50541;0.65822
953;0.50557;0.65773
954;0.50572;0.65725
955;0.50588;0.65676
956;0.50603;0.65627
957;0.50619;0.65579
958;0.50634;0.65530
959;0.50650;0.65482
960;0.50665;0.65434
961;0.50681;0.65386
962;0.50696;0.65338
963;0.50712;0.65290
964;0.50727;0.65242
965;0.50743;0.65194
966;0.50758;0.65147
967;0.50774;0.65099
968;0.50789;0.65052
969;0.50805;0.65005
970;0.50820;0.64957
971;0.50780;0.64840
972;0.50740;0.64722
973;0.50700;0.64604
974;0.50660;0.64487
975;0.50620;0.64370
976;0.50580;0.64253
977;0.50540;0.64137
978;0.50500;0.64020
979;0.50460;0.63904
980;0.50420;0.63789
981;0.50380;0.63673
982;0.50340;0.63558
983;0.50300;0.63443
984;0.50260;0.63328
985;0.50220;0.63213
986;0.50180;0.63099
987;0.50140;0.62984
988;0.50100;0.62871
989;0.50060;0.62757
990;0.50020;0.62643
991;0.49908;0.62440
992;0.49796;0.62237
993;0.49684;0.62035
994;0.49572;0.61832
995;0.49460;0.61631
996;0.49348;0.61429
997;0.49236;0.61229
998;0.49124;0.61028
999;0.49012;0.60828
1000;0.48900;0.60628
1001;0.49054;0.60759
1002;0.48925;0.60538
1003;0.48795;0.60317
1004;0.48666;0.60097
1005;0.48536;0.59878
1006;0.48407;0.59659
1007;0.48277;0.59440
1008;0.48148;0.59222
1009;0.47994;0.58974
1010;0.47799;0.58677
1011;0.47605;0.58381
1012;0.47411;0.58085
1013;0.47216;0.57789
1014;0.47008;0.57478
1015;0.46801;0.57168
1016;0.46594;0.56859
1017;0.46398;0.56564
1018;0.46204;0.56272
1019;0.46009;0.55981
1020;0.45815;0.55690
1021;0.45587;0.55358
1022;0.45334;0.54997
1023;0.45081;0.54637
1024;0.44829;0.54278
1025;0.44535;0.53870
1026;0.44147;0.53348
1027;0.43778;0.52851
1028;0.43520;0.52488
1029;0.43261;0.52125
1030;0.43002;0.51762
1031;0.42742;0.51400
1032;0.42483;0.51039
1033;0.42224;0.50679
1034;0.41872;0.50208
1035;0.41484;0.49694
1036;0.41095;0.49181
1037;0.40707;0.48669
1038;0.40318;0.48158
1039;0.39929;0.47648
1040;0.39541;0.47139
1041;0.39152;0.46631
1042;0.38710;0.46059
1043;0.37959;0.45123
1044;0.37570;0.44618
1045;0.37181;0.44114
1046;0.36793;0.43611
1047;0.36404;0.43110
1048;0.36016;0.42609
1049;0.35628;0.42109
1050;0.35239;0.41610
